URI,Latitude,Longitude
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/6542168/credera-rubbiano.html,45.30327,9.65606
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/6540641/madignano.html,45.34567,9.72326
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3166708/sergnano.html,45.42755,9.70122
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3179636/castelleone.html,45.29579,9.76091
https://www.geonames.org/3180177/casalmaggiore.html,44.98981,10.42055
https://www.geonames.org/3180177/casalmaggiore.html,44.98981,10.42055
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3179636/castelleone.html,45.29579,9.76091
https://www.geonames.org/3179636/castelleone.html,45.29579,9.76091
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/6542735/palazzo-pignano.html,45.39007,9.56956
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3175382/izano.html,45.35552,9.75138
https://www.geonames.org/3175382/izano.html,45.35552,9.75138
https://www.geonames.org/3175382/izano.html,45.35552,9.75138
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3166399/soncino.html,45.40033,9.86845
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3170597/pizzighettone.html,45.1869,9.78781
https://www.geonames.org/6534609/ripalta-arpina.html,45.30187,9.72896
https://www.geonames.org/6543217/cremosano.html,45.39467,9.63826
https://www.geonames.org/3180722/capergnanica.html,45.33869,9.64475
https://www.geonames.org/3177841/crema.html,45.36264,9.68176
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
https://www.geonames.org/3177838/cremona.html,45.13325,10.02129
